電流b[mA],電圧b[V],電流a[mA],電圧a[V],電圧b_補正[V],電流a_補正[],,
0,0,0,0,0,0,-0.017,-5
0,0.1,0,0.1,0.1,-0.00999001,-0.024,-10
0,0.2,0,0.2,0.2,-0.01998002,-0.05,-15
0,0.3,0,0.3,0.3,-0.02997003,-0.068,-20
0,0.4,0,0.4,0.4,-0.03996004,-0.084,-25
0,0.5,0,0.5,0.5,-0.04995005,-0.1,-30
0,0.6,0.1,0.6,0.6,0.04005994,,
0.41,0.7,0.2,0.64,0.698155,0.136063936,,
0.62,0.72,0.4,0.68,0.71721,0.332067932,,
1.2,0.74,0.6,0.7,0.7346,0.53006993,,
1.59,0.76,1,0.72,0.752845,0.928071928,,
2,0.78,1.4,0.74,0.771,1.326073926,,
2.74,0.8,2,0.76,0.78767,1.924075924,,
3.21,0.82,2.5,0.78,0.805555,2.422077922,,
3.64,0.84,3,0.8,0.82362,2.92007992,,
4.5,0.86,3.8,0.82,0.83975,3.718081918,,
4.97,0.88,4.2,0.84,0.857635,4.116083916,,
5.38,0.9,5.1,0.86,0.87579,5.014085914,,
5.79,0.92,5.5,0.88,0.893945,5.412087912,,
6.4,0.94,6.2,0.9,0.9112,6.11008991,,
7,0.96,6.8,0.92,0.9285,6.708091908,,
,,7.5,0.94,,7.406093906,,
,,8.1,0.96,,8.004095904,,
