freq[Hz]	v_i[V]	v_o[V]	phase[us]	phase[Åã]	v_o/v_i	A_v
10	0.5	0.565	29600	253.44	1.13	1.06156887
20	0.5	1.08	16800	239.04	2.16	6.689075023
50	0.5	1.86	8000	216	3.72	11.4108588
100	0.5	2.18	4320	204.48	4.36	12.78972979
200	0.5	2.28	2320	192.96	4.56	13.17929685
500	0.5	2.28	960	187.2	4.56	13.17929685
1000	0.5	2.28	488	184.32	4.56	13.17929685
2000	0.5	2.28	244	184.32	4.56	13.17929685
5000	0.5	2.28	100	180	4.56	13.17929685
10000	0.5	2.28	48.8	184.32	4.56	13.17929685
20000	0.5	2.28	25.2	178.56	4.56	13.17929685
50000	0.52	2.3	10.2	176.4	4.423076923	12.91448985
100000	0.52	2.3	5.04	178.56	4.423076923	12.91448985
200000	0.54	2.3	2.52	178.56	4.259259259	12.58668152
500000	0.5	2.2	0.888	159.84	4.4	12.86905353
1000000	0.54	1.98	0.576	152.64	3.666666667	11.28542861
2000000	0.47	1.46	0.316	132.48	3.106382979	9.845099957
4000000	0.408	0.8	0.07	100.8	1.960784314	5.848596478
30	0.505	1.44	11400	236.88	2.851485149	9.10142228
40	0.51	1.69	9200	227.52	3.31372549	10.40633057
25	0.505	1.23	13200	241.2	2.435643564	7.732274666
31	0.505	1.44	11600	230.544	2.851485149	9.10142228
32	0.505	1.47	11000	233.28	2.910891089	9.280519133
33	0.505	1.49	10800	231.696	2.95049505	9.397897806
3000000	0.44	1.04	0.106	114.48	2.363636364	7.471613256
2200000	0.464	1.35	0.152	120.384	2.909482759	9.276315759
2500000	0.456	1.22	0.132	118.8	2.675438596	8.54789976
1500000	0.488	1.67	0.248	133.92	3.422131148	10.68593298
48	0.505	1.77	8160	218.9952	3.504950495	10.89363776
46	0.505	1.68	8040	226.8576	3.326732673	10.44035807
1700000	0.48	1.6	0.212	129.744	3.333333333	10.45757491
700000	0.51	2.12	0.64	161.28	4.156862745	12.3753137
