V1[V],I1[A],W1[W],T[rpm],,V1[V],I1[A],W1[W],T[rpm],,V1[V],I1[A],W1[W],T[rpm],,V1[V],I1[A],W1[W],T[rpm]
200,6.002,-498,1494,,200.2,6.028,-496,1496,,200,6.051,-458,1491,,200.1,5.976,-449,1490
190.2,5.249,-407,1494,,190.1,5.211,-401,1494,,190.1,5.154,-356,1492,,190.1,5.201,-357,1490
179.8,4.542,-328,1493,,179.9,4.613,-331,1495,,180.3,4.61,-290,1492,,180.2,4.567,-286,1492
170.1,4.017,-266,1494,,170.1,4.076,-272,1494,,170,4.07,-230,1491,,169.8,4.102,-230,1492
160.2,3.613,-220,1494,,160,3.64,-222,1493,,160.1,3.65,-183,1490,,159.9,3.67,-184,1491
150.3,3.247,-180,1493,,149.8,3.268,-180,1493,,150.2,3.279,-138,1488,,149.9,3.287,-137,1490
140.1,2.88,-139,1491,,140,2.956,-146,1493,,139.8,3.018,-111,1486,,139.8,2.968,-105,1487
130,2.642,-116,1491,,130,2.666,-117,1492,,129.9,2.743,-81,1484,,130,2.715,-74,1484
119.9,2.337,-87,1491,,120.1,2.409,-94,1490,,119.8,2.462,-54,1481,,119.8,2.47,-49,1482
110.2,2.114,-67,1491,,110,2.153,-71,1490,,110.1,2.256,-34,1477,,110,2.269,-32,1480
100,1.943,-54,1488,,100,1.89,-46,1491,,100,2.108,-13,1478,,99.9,2.089,-9,1478
90,1.745,-37,1486,,89.8,1.714,-31,1489,,89.9,1.942,4,1474,,89.9,1.944,8,1473
79.7,1.566,-18,1482,,80,1.53,-15,1484,,80.2,1.837,22,1465,,80,1.856,19,1467
70.2,1.409,-5,1478,,69.9,1.412,-8,1479,,70.2,1.772,31,1456,,70.1,1.817,33,1457
59.9,1.315,-1,1473,,59.8,1.279,4,1471,,60,1.848,39,1440,,60,1.853,40,1440
49.9,1.203,10,1461,,49.9,1.205,10,1461,,49.9,2.009,46,1413,,49.9,2.011,46,1412
40,1.217,15,1438,,40,1.194,16,1440,,40,2.433,51,1354,,39.9,2.417,51,1352
30,1.429,22,1390,,30.1,1.437,22,1389,,,,,,,,,,
