time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.000000000000000e-004	0.000000e+000	0.000000e+000
2.000000000012768e-004	5.440124e-008	1.307399e-007
2.000000000038303e-004	1.632011e-007	3.922196e-007
2.000000029914404e-004	1.240901e-004	3.063235e-004
2.000000059790506e-004	2.430618e-004	6.122548e-004
2.000000089666608e-004	3.570786e-004	9.181861e-004
2.000000119542709e-004	4.661402e-004	1.224117e-003
2.000000149418811e-004	5.702467e-004	1.530049e-003
2.000000179294912e-004	6.693982e-004	1.835980e-003
2.000000209171014e-004	7.635946e-004	2.141911e-003
2.000000418354795e-004	1.328657e-003	4.283953e-003
2.000000836722358e-004	2.107364e-003	8.568037e-003
2.000001483249780e-004	2.801106e-003	1.518848e-002
2.000002211133460e-004	3.155608e-003	2.264201e-002
2.000003355147576e-004	3.338081e-003	3.435671e-002
2.000005020945305e-004	3.400145e-003	5.141448e-002
2.000097656250000e-004	3.504157e-003	1.000000e+000
2.000099883780733e-004	1.614834e-003	1.000000e+000
2.000104338842199e-004	2.426644e-004	1.000000e+000
2.000113248965130e-004	8.945428e-005	1.000000e+000
2.000128064031944e-004	1.604011e-004	1.000000e+000
2.000154271421914e-004	2.089517e-004	1.000000e+000
2.000206686201855e-004	4.294208e-004	1.000000e+000
2.000311515761735e-004	1.099980e-003	1.000000e+000
2.000521174881496e-004	3.180025e-003	1.000000e+000
2.000825958960598e-004	7.390813e-003	1.000000e+000
2.001169849530113e-004	1.341517e-002	1.000000e+000
2.001581592929245e-004	2.182789e-002	1.000000e+000
2.002052575412546e-004	3.239182e-002	1.000000e+000
2.002637138367965e-004	4.624891e-002	1.000000e+000
2.004254420831182e-004	8.609458e-002	1.000000e+000
2.005460854652950e-004	1.161882e-001	1.000000e+000
2.007242752747243e-004	1.607169e-001	1.000000e+000
2.010103983053790e-004	2.322412e-001	1.000000e+000
2.015826443666885e-004	3.752922e-001	1.000000e+000
2.027271364893074e-004	6.613160e-001	1.000000e+000
2.029166321704446e-004	7.087016e-001	1.000000e+000
2.032956235327191e-004	8.033526e-001	1.000000e+000
2.036867787609431e-004	8.998844e-001	1.000000e+000
2.039044179094675e-004	9.508523e-001	1.000000e+000
2.040404623470064e-004	9.786119e-001	1.000000e+000
2.041252402023698e-004	9.919891e-001	1.000000e+000
2.041895541057579e-004	9.987260e-001	1.000000e+000
2.042587161780628e-004	1.002577e+000	1.000000e+000
2.043286264247690e-004	1.003712e+000	1.000000e+000
2.043857645157790e-004	1.002991e+000	1.000000e+000
2.044428284238082e-004	1.001280e+000	1.000000e+000
2.045075620374771e-004	9.988832e-001	1.000000e+000
2.045725017941036e-004	9.965198e-001	1.000000e+000
2.046481454602681e-004	9.942561e-001	1.000000e+000
2.047288394138449e-004	9.926801e-001	1.000000e+000
2.048269605247070e-004	9.918794e-001	1.000000e+000
2.049388961605619e-004	9.919590e-001	1.000000e+000
2.050460736549788e-004	9.925207e-001	1.000000e+000
2.051619525536911e-004	9.931467e-001	1.000000e+000
