Freq.	V(n002)
3.00000000000000e+000	(-5.95132435967477e+001dB,1.77330200940156e+002°)
3.77677623538250e+000	(-5.55133831087049e+001dB,1.76638263956933e+002°)
4.75467957738334e+000	(-5.15136110326725e+001dB,1.75766513195680e+002°)
5.98578694490664e+000	(-4.75139893769186e+001dB,1.74667742725904e+002°)
7.53565929452874e+000	(-4.35146319760548e+001dB,1.73281885870443e+002°)
9.48683298050514e+000	(-3.95157582951562e+001dB,1.71532064676927e+002°)
1.19432151166049e+001	(-3.55178141106946e+001dB,1.69319030444578e+002°)
1.50356170088182e+001	(-3.15217513016730e+001dB,1.66513065702308e+002°)
1.89287203344058e+001	(-2.75296915355435e+001dB,1.62941826247904e+002°)
2.38298470417285e+001	(-2.35465200398673e+001dB,1.58371878490354e+002°)
3.00000000000000e+001	(-1.95837100011873e+001dB,1.52481697711708e+002°)
3.77677623538250e+001	(-1.56682938281044e+001dB,1.44828607349879e+002°)
4.75467957738334e+001	(-1.18624756024795e+001dB,1.34835481609411e+002°)
5.98578694490664e+001	(-8.29889735320431e+000dB,1.21898080866618e+002°)
7.53565929452875e+001	(-5.21288505318356e+000dB,1.05836643408211e+002°)
9.48683298050515e+001	(-2.88346058448489e+000dB,8.77104933687211e+001°)
1.19432151166049e+002	(-1.42145838010085e+000dB,6.99085717221752e+001°)
1.50356170088182e+002	(-6.52775962921792e-001dB,5.45831385245950e+001°)
1.89287203344058e+002	(-2.94175855700562e-001dB,4.24191692930613e+001°)
2.38298470417285e+002	(-1.36053504679560e-001dB,3.30626305290046e+001°)
3.00000000000000e+002	(-6.71749440634898e-002dB,2.58916779618572e+001°)
3.77677623538251e+002	(-3.67198855071920e-002dB,2.03598671757974e+001°)
4.75467957738335e+002	(-2.28092959656382e-002dB,1.60571700856631e+001°)
5.98578694490665e+002	(-1.61676395635526e-002dB,1.26865557602835e+001°)
7.53565929452875e+002	(-1.28312350073864e-002dB,1.00314635990240e+001°)
9.48683298050515e+002	(-1.10665075266771e-002dB,7.93100122105420e+000°)
1.00000000000000e+003	(-1.07910846648738e-002dB,7.51504681286379e+000°)
