time	V(p002)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.000000000000000e-004	0.000000e+000	0.000000e+000
2.000001118576210e-004	7.158887e-002	3.116870e-005
2.000003355728630e-004	2.147666e-001	1.103190e-004
2.000006520739027e-004	4.173273e-001	2.396842e-004
2.000009954782577e-004	6.371061e-001	3.841230e-004
2.000015625000000e-004	1.000000e+000	6.219548e-004
2.000016192021742e-004	1.000000e+000	6.338819e-004
2.000017326065227e-004	1.000000e+000	6.472390e-004
2.000019594152196e-004	1.000000e+000	6.544353e-004
2.000024130326134e-004	1.000000e+000	6.553720e-004
2.000031974358478e-004	1.000000e+000	6.552632e-004
2.000316600674945e-004	1.000000e+000	6.474504e-004
2.000601226991412e-004	1.000000e+000	6.302952e-004
2.000885853307880e-004	1.000000e+000	6.037977e-004
2.001170479624347e-004	1.000000e+000	5.679579e-004
2.001455105940814e-004	1.000000e+000	5.227758e-004
2.001739732257281e-004	1.000000e+000	4.682513e-004
2.002024358573749e-004	1.000000e+000	4.043844e-004
2.003570515594843e-004	1.000000e+000	1.193059e-004
2.005305561382458e-004	1.000000e+000	-6.239892e-005
2.007586756292236e-004	1.000000e+000	-7.462998e-005
2.010118489278857e-004	1.000000e+000	1.020100e-006
2.013634298029888e-004	1.000000e+000	4.494574e-005
2.017825231146798e-004	1.000000e+000	4.974427e-005
2.025405055728531e-004	1.000000e+000	1.014318e-004
2.033051526122257e-004	1.000000e+000	1.835128e-004
2.046470502071771e-004	1.000000e+000	3.680036e-004
2.062095502071771e-004	1.000000e+000	6.576728e-004
2.077720502071771e-004	1.000000e+000	1.025871e-003
2.093345502071771e-004	1.000000e+000	1.476488e-003
2.108970502071771e-004	1.000000e+000	2.007260e-003
2.124595502071770e-004	1.000000e+000	2.617522e-003
2.140220502071770e-004	1.000000e+000	3.306206e-003
2.155845502071770e-004	1.000000e+000	4.071779e-003
2.171470502071770e-004	1.000000e+000	4.913762e-003
2.187095502071770e-004	1.000000e+000	5.830354e-003
2.202720502071770e-004	1.000000e+000	6.821143e-003
2.218345502071770e-004	1.000000e+000	7.884465e-003
2.233970502071770e-004	1.000000e+000	9.019693e-003
2.265220502071770e-004	1.000000e+000	1.150088e-002
2.296470502071769e-004	1.000000e+000	1.425630e-002
2.327720502071769e-004	1.000000e+000	1.727765e-002
2.358970502071769e-004	1.000000e+000	2.055678e-002
2.405845502071769e-004	1.000000e+000	2.594124e-002
2.452720502071768e-004	1.000000e+000	3.186106e-002
2.499595502071768e-004	1.000000e+000	3.829034e-002
2.559863359214625e-004	1.000000e+000	4.738422e-002
2.620131216357482e-004	1.000000e+000	5.710521e-002
2.680399073500338e-004	1.000000e+000	6.745331e-002
2.740666930643195e-004	1.000000e+000	7.842851e-002
2.800934787786052e-004	1.000000e+000	9.003082e-002
2.861202644928909e-004	1.000000e+000	1.022602e-001
2.921470502071766e-004	1.000000e+000	1.151168e-001
3.015220502071765e-004	1.000000e+000	1.361796e-001
3.108970502071764e-004	1.000000e+000	1.578977e-001
