Freq.	V(n001)
1.00000000000000e+001	(-6.48374928122101e-005dB,-8.74570530699015e-001°)
1.25892541179417e+001	(-9.50758570208274e-005dB,-1.10104018832671e+000°)
1.58489319246111e+001	(-1.43074151209642e-004dB,-1.38616961287982e+000°)
1.99526231496888e+001	(-2.19331482055073e-004dB,-1.74516821544211e+000°)
2.51188643150958e+001	(-3.40656284032308e-004dB,-2.19720429359426e+000°)
3.16227766016838e+001	(-5.34111253171036e-004dB,-2.76645072023689e+000°)
3.98107170553497e+001	(-8.43650470725107e-004dB,-3.48342180889176e+000°)
5.01187233627272e+001	(-1.34160462907178e-003dB,-4.38669682626978e+000°)
6.30957344480194e+001	(-2.14930839158188e-003dB,-5.52516978956070e+000°)
7.94328234724282e+001	(-3.47587346660908e-003dB,-6.96103897356903e+000°)
1.00000000000000e+002	(-5.69487566749980e-003dB,-8.77387615812802e+000°)
1.25892541179417e+002	(-9.50399876229353e-003dB,-1.10663339991657e+001°)
1.58489319246111e+002	(-1.62730096173951e-002dB,-1.39724154353042e+001°)
1.99526231496888e+002	(-2.88302467903310e-002dB,-1.76697811893578e+001°)
2.51188643150958e+002	(-5.32820316107869e-002dB,-2.23981552560280e+001°)
3.16227766016838e+002	(-1.03246819211239e-001dB,-2.84854286612598e+001°)
3.98107170553498e+002	(-2.09497768918098e-001dB,-3.63770492561092e+001°)
5.01187233627273e+002	(-4.40268043755087e-001dB,-4.66380218386378e+001°)
6.30957344480194e+002	(-9.35435099288060e-001dB,-5.98200044035483e+001°)
7.94328234724282e+002	(-1.93098499247211e+000dB,-7.59854723820071e+001°)
1.00000000000000e+003	(-3.68653777643601e+000dB,-9.39583810350791e+001°)
1.25892541179417e+003	(-6.28211377147900e+000dB,-1.11402693327018e+002°)
1.58489319246111e+003	(-9.53510274377012e+000dB,-1.26357663813457e+002°)
1.99526231496888e+003	(-1.31765772420888e+001dB,-1.38254869677624e+002°)
2.51188643150958e+003	(-1.70112371548768e+001dB,-1.47454765781893e+002°)
3.16227766016838e+003	(-2.09346720543058e+001dB,-1.54549519154343e+002°)
3.98107170553498e+003	(-2.48981300226757e+001dB,-1.60059872610903e+002°)
5.01187233627273e+003	(-2.88799194911116e+001dB,-1.64381244654472e+002°)
6.30957344480194e+003	(-3.28704223034949e+001dB,-1.67805114867574e+002°)
7.94328234724283e+003	(-3.68652822382452e+001dB,-1.70549414317697e+002°)
1.00000000000000e+004	(-4.08624530379043e+001dB,-1.72783036694120e+002°)
1.25892541179417e+004	(-4.48609207128700e+001dB,-1.74644664941829e+002°)
1.58489319246112e+004	(-4.88601152760114e+001dB,-1.76259503040842e+002°)
1.99526231496888e+004	(-5.28595459175265e+001dB,-1.77758740280326e+002°)
2.51188643150958e+004	(-5.68583075939569e+001dB,-1.79308882812053e+002°)
3.16227766016839e+004	(-6.08537806418551e+001dB,1.78836743601960e+002°)
3.98107170553498e+004	(-6.48373809118206e+001dB,1.76242349019010e+002°)
5.01187233627273e+004	(-6.87799149882520e+001dB,1.72116793561060e+002°)
6.30957344480195e+004	(-7.25819883874266e+001dB,1.65063071527000e+002°)
7.94328234724283e+004	(-7.59323423715979e+001dB,1.53106134754703e+002°)
1.00000000000000e+005	(-7.81246128220776e+001dB,1.35619468681680e+002°)
1.25892541179417e+005	(-7.85140692689564e+001dB,1.17113703335164e+002°)
1.58489319246112e+005	(-7.74673913153736e+001dB,1.03425318181876e+002°)
2.00000000000000e+005	(-7.57349433483497e+001dB,9.50639275230236e+001°)
