Torr	d				mean_kV
760	1	4.24	4.23	4.2	4.223333333
760	2	7.32	7.3	7.27	7.296666667
760	3	10.26	10.27	10.25	10.26
760	4	13.06	13.07	13.15	13.09333333
760	5	15.92	15.92	15.96	15.93333333
380	1	2.53	2.46	2.48	2.49
380	2	4.2	4.3	4.29	4.263333333
380	3	5.97	5.94	6.01	5.973333333
380	4	7.64	7.62	7.65	7.636666667
380	5	9.21	9.12	9.12	9.15
190	1	1.65	1.62	1.62	1.63
190	2	2.64	2.61	2.72	2.656666667
190	3	3.61	3.41	3.66	3.56
190	4	4.35	4.48	4.39	4.406666667
190	5	5.23	5.4	4.81	5.146666667
95	1	1.1	1.15	1.06	1.103333333
95	2	1.59	1.73	1.63	1.65
95	3	2.05	2.18	2.19	2.14
95	4	2.71	2.65	2.58	2.646666667
95	5	2.9	3.09	3.11	3.033333333
10	1	0.39	0.36	0.38	0.376666667
10	2	0.58	0.59	0.59	0.586666667
10	3	0.68	0.65	0.69	0.673333333
10	4	0.76	0.78	0.82	0.786666667
10	5	0.9	0.91	0.91	0.906666667
