DC+[mm],V[kV],"コロナ(有:1,無:0)",DC-[mm],V[kV],"コロナ(有:1,無:0)",AC[mm],V[kV],"コロナ(有:1,無:0)"
5,7.75,0,5,10.54,0,5,7.66,0
5,8.15,0,5,10.48,0,5,7.67,0
5,8.02,0,5,10.83,0,5,7.68,0
5,7.92,0,5,10.79,0,5,7.6,0
5,7.85,0,5,10.83,0,5,7.68,0
10,19.15,0,10,22.5,1,10,13.06,1
10,18.61,0,10,22.57,1,10,13.22,1
10,18.62,0,10,23.03,1,10,14.05,1
10,18.06,0,10,22.72,1,10,13.15,1
10,17.72,0,10,23.03,1,10,13.1,1
20,22.45,0,15,34.64,1,20,21.68,1
20,22.09,0,15,34.4,1,20,21.65,1
20,27.96,0,15,34.33,1,20,21.87,1
20,26.62,0,15,33.8,1,20,22.3,1
20,26.67,0,15,34.52,1,20,22.29,1
40,35.01,1,20,44,1,40,33.42,1
40,34.86,1,20,44.37,1,40,33.62,1
40,34.6,1,20,44.54,1,40,31.65,1
40,35.96,1,20,44.22,1,40,32.8,1
40,34.53,1,20,44.46,1,40,32.33,1
60,41.25,1,25,51.46,1,60,40.28,1
60,41.52,1,25,51.98,1,60,39.4,1
60,41.25,1,25,53.44,1,60,40.17,1
60,42.18,1,25,51.86,1,60,40.15,1
60,42.17,1,25,52.12,1,60,40.47,1
