Freq.	V(n003)
1.00000000000000e+000	(-1.33473134054445e+001dB,-6.25627500259241e-002°)
1.02329299228075e+000	(-1.33473134203658e+001dB,-6.40200238935559e-002°)
1.04712854805090e+000	(-1.33473134359903e+001dB,-6.55112420454579e-002°)
1.07151930523761e+000	(-1.33473134523511e+001dB,-6.70371951466773e-002°)
1.09647819614318e+000	(-1.33473134694831e+001dB,-6.85986922792946e-002°)
1.12201845430196e+000	(-1.33473134874224e+001dB,-7.01965613714165e-002°)
1.14815362149688e+000	(-1.33473135062072e+001dB,-7.18316496361635e-002°)
1.17489755493953e+000	(-1.33473135258773e+001dB,-7.35048240208802e-002°)
1.20226443461741e+000	(-1.33473135464745e+001dB,-7.52169716668132e-002°)
1.23026877081238e+000	(-1.33473135680423e+001dB,-7.69690003794932e-002°)
1.25892541179417e+000	(-1.33473135906266e+001dB,-7.87618391100774e-002°)
1.28824955169313e+000	(-1.33473136142753e+001dB,-8.05964384479019e-002°)
1.31825673855641e+000	(-1.33473136390385e+001dB,-8.24737711245090e-002°)
1.34896288259165e+000	(-1.33473136649688e+001dB,-8.43948325294155e-002°)
1.38038426460288e+000	(-1.33473136921211e+001dB,-8.63606412378945e-002°)
1.41253754462275e+000	(-1.33473137205531e+001dB,-8.83722395510529e-002°)
1.44543977074593e+000	(-1.33473137503251e+001dB,-9.04306940484889e-002°)
1.47910838816821e+000	(-1.33473137815002e+001dB,-9.25370961538228e-002°)
1.51356124843621e+000	(-1.33473138141445e+001dB,-9.46925627134037e-002°)
1.54881661891248e+000	(-1.33473138483273e+001dB,-9.68982365884947e-002°)
1.58489319246111e+000	(-1.33473138841211e+001dB,-9.91552872612537e-002°)
1.62181009735893e+000	(-1.33473139216018e+001dB,-1.01464911454832e-001°)
1.65958690743756e+000	(-1.33473139608490e+001dB,-1.03828333767914e-001°)
1.69824365246174e+000	(-1.33473140019458e+001dB,-1.06246807324045e-001°)
1.73780082874937e+000	(-1.33473140449795e+001dB,-1.08721614436079e-001°)
1.77827941003892e+000	(-1.33473140900413e+001dB,-1.11254067286107e-001°)
1.81970085860998e+000	(-1.33473141372268e+001dB,-1.13845508621224e-001°)
1.86208713666287e+000	(-1.33473141866361e+001dB,-1.16497312465510e-001°)
1.90546071796325e+000	(-1.33473142383741e+001dB,-1.19210884848586e-001°)
1.94984459975804e+000	(-1.33473142925504e+001dB,-1.21987664551152e-001°)
1.99526231496888e+000	(-1.33473143492799e+001dB,-1.24829123867887e-001°)
2.04173794466953e+000	(-1.33473144086831e+001dB,-1.27736769388125e-001°)
2.08929613085404e+000	(-1.33473144708859e+001dB,-1.30712142794716e-001°)
2.13796208950223e+000	(-1.33473145360203e+001dB,-1.33756821681498e-001°)
2.18776162394955e+000	(-1.33473146042244e+001dB,-1.36872420389811e-001°)
2.23872113856834e+000	(-1.33473146756428e+001dB,-1.40060590864505e-001°)
2.29086765276777e+000	(-1.33473147504272e+001dB,-1.43323023529881e-001°)
2.34422881531992e+000	(-1.33473148287361e+001dB,-1.46661448186046e-001°)
2.39883291901949e+000	(-1.33473149107356e+001dB,-1.50077634926150e-001°)
2.45470891568503e+000	(-1.33473149965998e+001dB,-1.53573395074987e-001°)
2.51188643150958e+000	(-1.33473150865106e+001dB,-1.57150582149467e-001°)
2.57039578276886e+000	(-1.33473151806589e+001dB,-1.60811092841467e-001°)
2.63026799189538e+000	(-1.33473152792443e+001dB,-1.64556868023572e-001°)
2.69153480392691e+000	(-1.33473153824759e+001dB,-1.68389893778258e-001°)
2.75422870333816e+000	(-1.33473154905729e+001dB,-1.72312202451047e-001°)
2.81838293126445e+000	(-1.33473156037644e+001dB,-1.76325873728199e-001°)
2.88403150312660e+000	(-1.33473157222905e+001dB,-1.80433035739516e-001°)
2.95120922666638e+000	(-1.33473158464027e+001dB,-1.84635866186842e-001°)
3.01995172040201e+000	(-1.33473159763643e+001dB,-1.88936593498846e-001°)
3.09029543251359e+000	(-1.33473161124510e+001dB,-1.93337498012727e-001°)
3.16227766016837e+000	(-1.33473162549513e+001dB,-1.97840913183439e-001°)
3.23593656929628e+000	(-1.33473164041677e+001dB,-2.02449226821097e-001°)
3.31131121482591e+000	(-1.33473165604166e+001dB,-2.07164882357218e-001°)
3.38844156139202e+000	(-1.33473167240295e+001dB,-2.11990380140466e-001°)
3.46736850452531e+000	(-1.33473168953535e+001dB,-2.16928278762581e-001°)
